arrival-2016,denis-villeneuve,amy-adams jeremy-renner forest-whitaker michael-stuhlbarg tzi-ma mark-obrien julia-scarlett-dan abigail-pniowsky jadyn-malone carmela-nozza-guizzo andrew-shaver shawn-campbell larry-day pat-kiely frank-schorpion lucas-chartier-dessert lucy-van-oldenbarneveld sonia-vigneault mark-camacho sabrina-reeves russell-yuen julian-casey tony-robinow anana-rydvald ruth-chiang sergiy-marchenko brittany-teo chistian-jadah joe-cobden lorne-brass genevieve-sirois abdul-ayoola bineyam-girma abdelghafour-elaaziz daniel-esteban-1 hal-roberts-1 matthew-willson victor-andres-trelles-turgeon-1 michael-nangreaves robert-d-morais mustafa-haidari albert-kwan reda-guerinik adrien-benn sasha-samar kathleen-stavert kattia-thony leisa-reid brent-skagford gurdeep-ahluwalia brian-dunstan dan-duran lori-graham orla-johannes sangita-patel tammie-sutherland max-walker-1 john-sanford-moore camille-ross ola-sturik karen-belfo chloe-bellande philippe-hartmann laurean-adrian-parau nathaly-thibault leslie-baker christian-jadah alex-m-yeuh dave-campbell-1 alexander-da-mota akul-dang frank-fiola
as-good-as-it-gets,james-l-brooks,jack-nicholson helen-hunt greg-kinnear cuba-gooding-jr skeet-ulrich shirley-knight yeardley-smith lupe-ontiveros lawrence-kasdan harold-ramis kathryn-morris alison-rose-1 maya-rudolph julie-benz jimmy-workman jamie-kennedy brian-doyle-murray peter-jacobson jesse-james-1 randall-batinkoff linda-gehringer kaitlin-hopkins danielle-spencer-1 lisa-edelstein danielle-brisebois-1 todd-solondz matt-malloy tom-mcgowan-1 bibi-osterwald ross-bleckner bernadette-balagtas jaffe-cohen laurie-kilpatrick alice-vaughn shane-black stan-bly missi-pyle tara-subkoff rebekah-johnson leslie-stefanson patricia-childress wood-harris chloe-brooks cooper-brooks kristi-zea justin-herwick john-f-odonohue mary-elizabeth-still paul-greenberg david-a-kipper antonia-jones alex-ballar bronwyn-cornelius amy-anzel laura-mayes-byrnes maurice-lamarche
the-assassination-of-jesse-james-by-the-coward-robert-ford,andrew-dominik,brad-pitt casey-affleck sam-rockwell sam-shepard mary-louise-parker paul-schneider-1 jeremy-renner garret-dillahunt zooey-deschanel michael-parks ted-levine brooklynn-proulx dustin-bollinger joel-mcnichol james-defelice jc-roberts darrell-orydzuk jonathan-erich-drachenberg torben-s-hansen alison-elliott lauren-calvert kailin-see tom-aldredge jesse-frechette pat-healy joel-duncan james-carville stephanie-wahlstrom adam-arlukiewicz ian-ferrier calvin-bliid sarah-lind nick-cave michael-copeman laryssa-yanchak anthony-harrison hugh-ross-1
atonement,joe-wright,keira-knightley james-mcavoy romola-garai saoirse-ronan brenda-blethyn vanessa-redgrave juno-temple benedict-cumberbatch harriet-walter alfie-allen jeremie-renier-2 anthony-minghella tobias-menzies peter-wight gina-mckee tilly-vosburgh john-normington patrick-kennedy-1 peter-oconnor daniel-mays nonso-anozie michelle-duncan michel-vuillermoz lionel-abelanski-1 roger-evans-1 bronson-webb ian-bonar jamie-beamish johnny-harris-1 billy-seymour neil-maskell nick-bagnall vivienne-gibbs alice-orr-ewing olivia-grant-1 katy-lawrence paul-stocker alex-noodle kelly-scott ryan-kiggell wendy-nottingham julia-west-1 felix-von-simson charlie-von-simson leander-deeny mark-holgate elliott-francis james-fiddy
austin-powers-in-goldmember,jay-roach,mike-myers beyonce-knowles seth-green michael-york mindy-sterling verne-troyer michael-caine fred-savage diane-mizota carrie-ann-inaba nobu-matsuhisa robert-wagner anna-marie-goddard aaron-himelstein josh-zuckerman evan-farmer tom-lister-jr nichole-hiltz gwyneth-paltrow angela-meryl scott-aukerman john-travolta danny-devito kevin-spacey tom-cruise nathan-lane eddie-adams neil-mullarkey eric-winzenried jim-piddock esther-scott leyna-nguyen jeannette-charles brian-tee masi-oka kevin-cooney clint-howard michael-mcdonald-1 donna-derrico fred-stoller brad-grunberg greg-grunberg ren-urano kinga-philipps-1 john-donovan masa-kanome hideo-kimura hiroshi-otaguro kevin-stea linda-kim nina-kaczorowski tammy-vanderpool nikki-ziering sybil-azur nicole-humphries patrice-fisher timothy-anderson faune-a-chambers kelly-cooper rj-durell shaun-earl michelle-elkin jennifer-hamilton hunter-hamilton michael-higgins-2 mark-meismer mandy-moore-2 ayesha-orange nathan-prevost liz-ramos shealan-spencer becca-sweitzer salvatore-vassallo robert-vinson amie-barsky lina-chmiel sharon-ferguson-1 trey-knight brian-richardson kimberlee-suerth lakisha-swift katie-couric rob-lowe ryan-allen-carrillo michael-chaturantabut gabriel-corbin devyn-duex christy-mcginity-gibel paul-grace ben-hisoler will-holman eiji-inoue jimmy-jatho kristen-johnston charles-m-kerper martin-klebba carolina-lancaster ryan-mcgonagle kinsey-mclean marylee-picciano gene-anthony-ray tara-rice nicole-sciacca matt-sergott sonny-sison michael-sun-lee chris-sung andreanna-veith kevin-vila dan-warner shane-zeranski ozzy-osbourne-1 sharon-osbourne kelly-osbourne jack-osbourne steven-spielberg quincy-jones britney-spears burt-bacharach-1 susanna-hoffs stuart-d-johnson matthew-sweet-1 christopher-ward-5
austin-powers-international-man-of-mystery,jay-roach,mike-myers elizabeth-hurley michael-york mimi-rogers robert-wagner seth-green fabiana-udenio mindy-sterling paul-dillon charles-napier elya-baskin will-ferrell clint-howard joe-son neil-mullarkey larry-thomas monet-mazur mark-bringelson joann-richter afifi-alaouie anastasia-sakelaris cindy-margolis donna-w-scott cynthia-lamontagne barbara-moore-4 cheryl-bartel patrick-bristow brian-george jim-mcmullan robin-gammell patricia-tallman vince-melocchi steve-monroe tyde-kierney burt-bacharach-1 carrie-fisher tom-arnold christian-slater rob-lowe lois-chiles michael-mcdonald-1 susanna-hoffs cheri-oteri joe-grisaffi hannah-kozak lea-sullivan chekesha-van-putten heather-marie-marsden sarah-christine-smith laura-payne-gabriel
austin-powers-the-spy-who-shagged-me,jay-roach,mike-myers heather-graham michael-york robert-wagner rob-lowe seth-green mindy-sterling verne-troyer elizabeth-hurley gia-carides kristen-johnston will-ferrell oliver-muirhead george-cheung muse-watson scott-cooper douglas-fisher kevin-cooney clint-howard brian-hooks david-koechner kirk-ward jeff-garlin jennifer-coolidge john-mahon michael-mcdonald-1 faune-a-chambers woody-harrelson charles-napier willie-nelson tim-robbins rebecca-romijn jerry-springer fred-willard kevin-durand tim-bagley jack-kehler mike-hagerty jeanette-miller mary-jo-smith burt-bacharach-1 elvis-costello tony-jay
avatar,james-cameron,sam-worthington zoe-saldana stephen-lang sigourney-weaver joel-david-moore giovanni-ribisi michelle-rodriguez dileep-rao laz-alonso wes-studi cch-pounder matt-gerald sean-anthony-moran jason-whyte scott-lawrence kelly-kilgour james-patrick-pitt sean-patrick-murphy peter-dillon kevin-dorman kelson-henderson david-van-horn jacob-tomuri michael-blain-rozgay jon-curry luke-hawker woody-schultz julene-renee peter-mensah sonia-yee jahnel-curfman ilram-choi kyla-warren lisa-roumain debra-wilson chris-mala taylor-kibby jodie-landau julie-lamm cullen-b-madden joseph-brady-madden frankie-torres austin-wilson sara-wilson tamica-washington-miller lucy-briant nathan-meister gerry-blair matthew-chamberlain paul-yates-1 wray-wilson james-gaylyn melvin-leno-clark-iii carvon-futrell brandon-jelkes micah-moch hanniyah-muhammad christopher-nolen christa-oliver april-marie-thomas bravita-a-threatt colin-bleasdale mike-bodnar matt-clayton nicole-dionne jamie-harrison allan-henry anthony-ingruber ashley-jeffery dean-knowsley joseph-mika-hunt terry-notary kai-pantano logan-pithyou stuart-pollock raja-2 gareth-ruck rhian-sheehan t-j-storm jodie-taylor alicia-vela-bailey richard-whiteside nikie-zambo
the-aviator,martin-scorsese,leonardo-dicaprio cate-blanchett kate-beckinsale c-3 alec-baldwin alan-alda ian-holm jude-law kelli-garner danny-huston brent-spiner-1 willem-dafoe gwen-stefani adam-scott matt-ross frances-conroy stanley-desantis keith-campbell amy-sloan kevin-orourke nellie-sciutto edward-herrmann-1 kenneth-welsh j-c-mackenzie-1 jacob-davich sam-hennings vince-giordano jason-cavalier rufus-wainwright loudon-wainwright-iii martha-wainwright al-dubois john-koensgen harry-standjofski josie-maran joe-chrest justin-shilton arthur-holden joseph-p-reidy stephane-demers yves-jacques chris-ufland sebastian-tillinger james-bradford francesca-scorsese alan-toy joe-cobden linda-e-smith david-purdham alan-fawcett lisa-bronwyn-moore emma-campbell vincent-laresca matt-holland dennis-st-john al-vandecruys james-rae kathleen-mcauliffe terry-haig danielle-franke meghan-elizabeth elizabeth-decicco elisa-dyann isabelle-champeau al-coronel
away-we-go,sam-mendes,john-krasinski maya-rudolph carmen-ejogo catherine-ohara jeff-daniels allison-janney jim-gaffigan samantha-pryor conor-carroll maggie-gyllenhaal josh-hamilton bailey-harkins brendan-spitz jaden-spitz chris-messina paul-schneider-1 melanie-lynskey
babe,chris-noonan,christine-cavanaugh miriam-margolyes danny-mann hugo-weaving miriam-flynn james-cromwell russi-taylor-2 evelyn-krape michael-edward-stevens charles-bartlett-1 paul-livingston roscoe-lee-browne magda-szubanski zoe-burton paul-goddard wade-hayward brittany-byrnes mary-acres debi-derryberry maeve-germaine
balto,simon-wells,kevin-bacon bob-hoskins bridget-fonda jim-cummings phil-collins-1 juliette-brewer jack-angel danny-mann robbie-rist sandra-dickinson frank-welker miriam-margolyes lola-bates-campbell
bananas,woody-allen,woody-allen louise-lasser carlos-montalban nati-abascal jacobo-morales miguel-angel-suarez rene-enriquez charlotte-rae stanley-ackerman dorothi-fox eddie-barth conrad-bain baron-de-beer sylvester-stallone howard-cosell tino-garcia
the-banger-sisters,bob-dolman,goldie-hawn susan-sarandon geoffrey-rush erika-christensen robin-thomas-1 eva-amurri-martino-2 matthew-carey-1 andre-ware
barefoot-in-the-park,gene-saks,robert-redford jane-fonda charles-boyer mildred-natwick-1 herb-edelman mabel-albertson fritz-feld ted-hartley james-stone doris-roberts
beasts-of-the-southern-wild,benh-zeitlin,quvenzhane-wallis dwight-henry levy-easterly gina-montana lowell-landes pamela-harper amber-henry jonshel-alexander nicholas-clark joseph-brown henry-d-coleman kaliana-brower phillip-lawrence hannah-holby jimmy-lee-moore
the-beautician-and-the-beast,ken-kwapis,timothy-dalton fran-drescher michael-lerner ian-mcneice patrick-malahide lisa-jakub tamara-mello
a-beautiful-mind,ron-howard,russell-crowe ed-harris jennifer-connelly christopher-plummer paul-bettany adam-goldberg josh-lucas anthony-rapp jason-gray-stanford judd-hirsch austin-pendleton vivien-cardone jillie-simon victor-steinbach tanya-clarke thomas-f-walsh jesse-doran kent-cassella patrick-blindauer john-blaylock roy-thinnes anthony-easton cheryl-howard josh-pais david-b-allen michael-esper erik-van-wyck rance-howard jane-jenkins-1 darius-stone valentina-cardinalli teagle-f-bougere amy-walz tracey-toomey jennifer-weedon yvonne-thomas holly-pitrago isadore-rosenfeld alex-toma robert-myers
becoming-jane,julian-jarrold,anne-hathaway james-mcavoy julie-walters james-cromwell maggie-smith joe-anderson-3 lucy-cohu laurence-fox ian-richardson anna-maxwell-martin leo-bill jessica-ashworth michael-james-ford tom-vaughan-lawlor chris-mchallem helen-mccrory michael-patric elaine-murphy
bedazzled-2000,harold-ramis,elizabeth-hurley brendan-fraser frances-oconnor orlando-jones paul-adelstein toby-huss gabriel-casseus miriam-shor brian-doyle-murray jeff-doucette aaron-lustig
before-sunrise,richard-linklater,ethan-hawke julie-delpy andrea-eckert hanno-poschl haymon-maria-buttinger erni-mangold karl-bruckschwaiger tex-rubinowitz dominik-castell harold-waiglein bilge-jeschim kurti hans-weingartner liese-lyon peter-ily-huemer otto-reiter hubert-fabian-kulterer branko-andric constanze-schweiger john-sloss alexandra-seibel georg-schollhammer christian-ankowitsch wilbirg-reiter barbara-klebel wolfgang-staribacher wolfgang-gluxam
before-sunset,richard-linklater,ethan-hawke julie-delpy vernon-dobtcheff louise-lemoine-torres rodolphe-pauly mariane-plasteig diabolo denis-evrard albert-delpy marie-pillet
begin-again,john-carney,mark-ruffalo keira-knightley adam-levine-1 hailee-steinfeld catherine-keener james-corden yasiin-bey aya-cash maddie-corman karen-pittman paul-romero andrew-sellon ed-renninger eric-burton marco-assante mary-catherine-garrison jen-jacob rob-morrow jennifer-li-jackson ian-brodsky shannon-maree-walsh david-abeles ann-mcgowan ron-voz cee-lo-green kena-onyenjekwe harvey-morris terry-lewis colin-love jimmy-palumbo simon-delaney danielle-brisebois-1 keen-ruffalo melissa-maria-gonzalez nicholas-daniel-gonzalez david-pendleton madison-love joanna-mauer erik-detusch rich-mercurio emilie-cardinaux curtis-fowlkes emily-yarbourgh erin-benin alexis-sykes julia-bruskin stacey-maltin
being-john-malkovich,spike-jonze,john-cusack cameron-diaz catherine-keener john-malkovich charlie-sheen orson-bean mary-kay-place-1 w-earl-brown carlos-jacott willie-garson byrne-piven gregory-sporleder octavia-spencer ned-bellamy eric-weinstein madison-lanc k-k-dodds judith-wetzell kevin-carroll reginald-c-hayes gerald-emerick bill-m-ryusaki richard-fancy patti-tippo daniel-hansen mariah-obrien kelly-teacher jacqueline-benoit william-buck christine-d-coleman jeanne-diehl audrey-gelfund yetta-ginsburg sylvester-jenkins roy-c-johnson eddie-j-low ralph-w-spaulding david-wyler flori-wyler kevin-lee-5 marlowe-bassett jennifer-canzoneri kristie-cordle denise-dabrowski kristin-condon charlene-grimsley christine-krejer erica-long-1 yvonne-montelius jessica-neuberger sara-rifkin elizabeth-rivera-1 chelsa-sjostrom pamela-hayden jayne-hess michelle-madden greg-oneill neil-ross-2 bill-wittman david-fincher sean-penn brad-pitt james-murray-4
being-there,hal-ashby,peter-sellers shirley-maclaine melvyn-douglas jack-warden richard-dysart richard-basehart ruth-attaway david-clennon fran-brill denise-dubarry alice-hirson jerome-hellman john-harkins james-noble
bend-it-like-beckham,gurinder-chadha,parminder-nagra keira-knightley jonathan-rhys-meyers anupam-kher shaheen-khan frank-harper juliet-stevenson ameet-chana archie-panjabi pooja-shah preeya-kalidas shobu-kapoor ace-bhatti
best-in-show,christopher-guest,jay-brazeau-1 parker-posey michael-hitchcock catherine-ohara eugene-levy lewis-arquette dany-canino bob-balaban will-sasso stephen-e-miller christopher-guest michael-mckean john-michael-higgins colin-cunningham-1 jehshua-barnes patrick-cranshaw jennifer-coolidge don-lake scott-williamson deborah-theaker rachael-harris jane-lynch fulvio-cecere linda-kash larry-miller ed-begley-jr cody-greg teryl-rothery tony-alcantar camille-sullivan dave-cameron-2 lynda-boyd madeleine-kipling merrilyn-gann andrew-johnston-4 malcolm-stewart jay-lyn-green fred-willard jim-piddock earlene-luke carmen-aguirre harold-pybus hiro-kanagawa cleo-a-laxton corrine-koslo andrew-wheeler don-emslie don-s-davis steven-m-porter melanie-angel doane-gregory carrie-aizley
bicentennial-man,chris-columbus,robin-williams sam-neill embeth-davidtz oliver-platt kiersten-warren-1 wendy-crewson bradley-whitford lindze-letherman angela-landis john-michael-higgins igor-hiller joe-bellan brett-wagner stephen-root hallie-kate-eisenberg george-wallace-1 tom-oreilly
big,penny-marshall,tom-hanks elizabeth-perkins robert-loggia john-heard jared-rushton david-moscow jon-lovitz mercedes-ruehl josh-clark allan-wasserman kimberlee-m-davis oliver-block erika-katz mark-ballou gary-howard-klar alec-von-sommer chris-dowden paul-herman john-rothman-2
the-big-lebowski,joel-coen,jeff-bridges john-goodman steve-buscemi julianne-moore philip-seymour-hoffman david-huddleston john-turturro tara-reid sam-elliott ben-gazzara peter-stormare torsten-voges flea aimee-mann philip-moon mark-pellegrino jimmie-dale-gilmore jack-kehler james-g-hoosier david-thewlis jon-polito carlos-leon richard-gant christian-clemenson dom-irrera lu-elrod mike-gomez peter-siragusa marshall-manesh harry-bugin irene-olga-lopez luis-colina leon-russom ajgie-kirkland jerry-haleva jennifer-lamb jesse-flanagan wendy-braun asia-carrera-1 kiva-dawson
the-big-sleep,howard-hawks,humphrey-bogart lauren-bacall john-ridgely martha-vickers dorothy-malone peggy-knudsen regis-toomey charles-waldron charles-d-brown bob-steele elisha-cook-jr louis-jean-heydt trevor-bardette joy-barlow max-barwyn deannie-best tanis-chandler jack-chefe james-conaty joseph-crehan sonia-darrin jack-deery carole-douglas jay-eaton tom-fadden bess-flowers kenneth-gibson joe-gilbert-2 stuart-hall shep-houghton kenner-g-kemp pete-kooy lorraine-miller forbes-murray william-h-obrien shelby-payne jack-perry tommy-rafferty waclaw-rekwart edward-rickard jeffrey-sayre emmett-vogan theodore-von-eltz wally-walker dan-wallace paul-weber-1 ben-welden suzanne-ridgeway
the-big-year,david-frankel,owen-wilson steve-martin jack-black-1 rashida-jones jim-parsons anjelica-huston tim-blake-nelson kevin-pollak rosamund-pike joel-mchale dianne-wiest-1 anthony-anderson brian-dennehy june-squibb zahf-paroo stacey-scowley michael-karl-richards paul-campbell john-cleese morgan-brayton
the-birdcage,mike-nichols,robin-williams nathan-lane gene-hackman dianne-wiest-1 calista-flockhart dan-futterman hank-azaria christine-baranski grant-heslov tom-mcgowan-1 kevin-stea
birdman-or-the-unexpected-virtue-of-ignorance,alejandro-gonzalez-inarritu,michael-keaton edward-norton emma-stone zach-galifianakis naomi-watts andrea-riseborough amy-ryan kenny-chin jamahl-garrison-lowe jeremy-shamos katherine-osullivan damian-young keenan-shimizu akira-ito-1 natalie-gold merritt-wever michael-siberry clark-middleton william-youmans lindsay-duncan paula-pell david-fierro hudson-flynn warren-kelley joel-garland brent-bateman donna-lynne-champlin valentino-musumeci taylor-schwencke craig-mums-grant kyle-knauf dave-neal kelly-southerland roberta-colindrez catherine-peppers-1 frank-ridley janis-corsair rakesh-g-shah bill-camp malachi-weir jackie-hoffman stephen-adly-guirgis glenn-wein-1 ebrahim-jaffer rain-noe susan-blackwell anna-hardwick dusan-dukic helena-alexis-seymour ian-finlay lynn-marocola
